STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/28/2000,0,,,63,75,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/29/2000,0.03,,,60,67,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/30/2000,0,,,63,69,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/31/2000,0,,,59,65,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/1/2000,0,,,58,66,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/2/2000,0.04,,,58,66,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/3/2000,0.02,,,60,69,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/4/2000,0,,,59,69,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/5/2000,0,,,55,62,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/6/2000,0.01,,,61,68,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/7/2000,0.07,,,55,61,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/8/2000,0.07,,,58,64,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/9/2000,0.18,,,57,61,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/10/2000,0.3,,,56,61,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/11/2000,0,,,59,67,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/12/2000,0,,,63,75,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/13/2000,0,,,65,77,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/14/2000,0,,,72,84,59
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/15/2000,0,,,66,73,59
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/16/2000,0,,,63,69,57
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/17/2000,0,,,63,72,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/18/2000,0.01,,,65,70,60
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/19/2000,0.04,,,65,71,58
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/20/2000,0.04,,,59,64,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/21/2000,0,,,62,67,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/22/2000,0,,,58,66,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/23/2000,0,,,58,71,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/24/2000,0,,,59,73,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/25/2000,0,,,59,73,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/26/2000,0,,,61,75,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/27/2000,0,,,61,73,48
